Date,Line item,Key-values,Total impressions
12/11/24,AAO_Premion_2024_2595461_Content-Spons_MLT_121224 (183679),refresh=true,219
12/11/24,AAO_Qatar-Airways_2023-2024_2589636_Content-Spons_MLT_301024 (147120),refresh=true,3
12/11/24,AAO_Roku_2024_2593391_Content-Spons_MLT_031224 (191465),refresh=true,64
12/11/24,AAO_Salesforce_Q4-2024_Whitepaper_ROS_House_MLT_121124,refresh=true,939
12/11/24,AAO_Smartsheet_2024_2587031_Content-Spons_MLT_181024 (180894),refresh=true,5
12/11/24,AAO_Smartsheet_2024_2589036_Content-Spons_MLT_291024 (180897),refresh=true,1
12/11/24,AAO_Smartsheet_2024_2592966_Content-Spons_MLT_261124 (180912),refresh=true,5
12/11/24,AAO_Smartsheet_2024_2592976_Content-Spons_MLT_221124 (180915),refresh=true,3
12/11/24,AAO_Smartsheet_2024_HUB_ROS_House_MLT_221124,refresh=true,896
12/11/24,AAO_Stackadapt_2024_2580076_Content-Spons_MLT_190924 (166512),refresh=true,3
12/11/24,AAO_T-Mobile_October-2024_2591996_Content-Spons_MLT_151124 (186552),refresh=true,13
12/11/24,AAO_TeenVoice_Q4-2024_Whitepaper_ROS_House_MLT_081124,refresh=true,948
12/11/24,AAO_TelevisaUnivision_2023-2024_2589011_Content-Spons_MLT_301024 (150725),refresh=true,1
12/11/24,AAO_TikTok_Q2-2024_2585961_Content-Spons_MLT_101024 (171847),refresh=true,24
12/11/24,AAO_TikTok_Q4-2024_2595231_Content-Spons_MLT_111224 (195222),refresh=true,44
12/11/24,AAO_Trustpilot_2024_2585196_Content-Spons_MLT_081024 (182210),refresh=true,2
12/11/24,AAO_Warner-Media_Q4-2024_2591271_Content-Spons_MLT_121124 (188448),refresh=true,2
12/11/24,AAO_Wurl_2024_2594576_Content-Spons_MLT_111224 (182441),refresh=true,68
12/11/24,AAO_Wurl_2024_Webcast_ROS_House_MLT_091024,refresh=true,872
12/11/24,ANE_Dataforce_EUBN_MLT_191124 (159124),refresh=true,11
12/11/24,ANE_JATO_Getac_MidLeaderboard_ERECS_Web_141024,refresh=true,77
12/11/24,ANE_Jato_ERECS_LG_141024_Arc,refresh=true,1
12/11/24,ANE_Torino-Design_EUIM_Interstitial_101224 (165459),refresh=true,1
12/11/24,ANE_Torino-Design_EUIM_MLT_101224 (165461),refresh=true,24
12/11/24,ANO_Ally_UNRT_PG_080724 (155185) (copy 1),refresh=true,5
12/11/24,ANO_Blocking-Pixel (Article Pages),refresh=true,17
12/11/24,ANO_CDK_CUST_Article_281024 (180075),refresh=true,3
12/11/24,ANO_COX _CUST_Article_Blocking_Pixels_181124 (186898),refresh=true,1
12/11/24,ANO_Capital-One-Auto-Finance_CUST_Article_041124 (179970),refresh=true,6
12/11/24,ANO_Connected-Dealer-Services_CUST_Article_180924 (152469) (copy 1),refresh=true,3
12/11/24,ANO_Connected-Dealer-Services_CUST_Article_Blocking_Pixels_180924 (152468) (copy 1),refresh=true,3
12/11/24,ANO_Cox-Auto-Retail_FSTV_PG_091224 (163681),refresh=true,826
12/11/24,ANO_Cox-Auto-Retail_RSSC_HTML_011224 (163743),refresh=true,98
12/11/24,ANO_Cox-Auto-Retail_RTSC_HTML_011224 (163748),refresh=true,247
12/11/24,ANO_December_MidLeaderboard_RECS_Web_021224,refresh=true,483
12/11/24,ANO_Evolution-Metals-Technologies_All-Stars_Billboard_041224 (195742),refresh=true,29
12/11/24,ANO_Evolution-Metals-Technologies_All-Stars_Half-Page_041224 (195743),refresh=true,24
12/11/24,ANO_Evolution-Metals-Technologies_All-Stars_Medium-Rectangle_041224 (195744),refresh=true,10
12/11/24,ANO_House_Blocking Pixels_VIDEO,refresh=true,"1,035"
12/11/24,ANO_House_US-Newsletters_MLT_230819 (copy 1),refresh=true,564
12/11/24,ANO_Manufacturing_MediumRectangle_TEST,refresh=true,15
12/11/24,ANO_Marketing_ActivEngage-12092024_MLT_091224,refresh=true,597
12/11/24,ANO_Marketing_Best-Practices-at-NADA_MLT_071024 (copy 1),refresh=true,"2,555"
12/11/24,ANO_Marketing_CallRevu-12112024_MLT_111224,refresh=true,536
12/11/24,ANO_Marketing_Cox-Autotrader-12182023_MLT_061224,refresh=true,517
12/11/24,ANO_Reynolds_RSHP_011224 (150458),refresh=true,"3,136"
12/11/24,ANO_Reynolds_WKTV_Article_MLT_091224 (150469),refresh=true,205
12/11/24,ANO_Spectrum-Reach_CUST_Article_111124 (173679) (copy 1),refresh=true,5
12/11/24,ANO_Stephens_DDTL_Blocking_Pixels_021224 (188793),refresh=true,53
12/11/24,ANO_Stephens_DDTL_Index_021224   (188794),refresh=true,17
12/11/24,ANO_TikTok_041224_CUST_Article_041224 (195493),refresh=true,3
12/11/24,ANO_TikTok_041224_CUST_Article_Blocking_Pixels_041224 (195492),refresh=true,1
12/11/24,ANO_Video_Mural_011321_Test_2,refresh=true,2
12/11/24,ANO_Warrcloud_RSMR_011224 (194865),refresh=true,"1,538"
12/11/24,ANO_Warrcloud_SPTO_091224 (194841),refresh=true,1
12/11/24,CAN_Blocking-Pixel_301118 (Page Specific) (copy 1),refresh=true,1
12/11/24,CAN_House_Canada-Newsletters_MLT_230819 (copy 1),refresh=true,6
12/11/24,CAN_Marketing_Leading-Women-on-Demand_MLT_251124,refresh=true,7
12/11/24,CAN_Quorum_CAMR_011224 (188784),refresh=true,37
12/11/24,CBO_Aetna_Article_SP_MLT_091224 (152529),refresh=true,5
12/11/24,CBO_Aetna_Home_Native_MLT_091224 (152526),refresh=true,193
12/11/24,CBO_Blocking-Pixel (Article ID),refresh=true,4
12/11/24,CBO_Blocking-Pixel REC03 | REC04 | LB03,refresh=true,"4,259"
12/11/24,CBO_Blocking-Pixel_(Article ID)_REC,refresh=true,4
12/11/24,CBO_Blocking-Pixel_Custom-Content,refresh=true,86
12/11/24,"CBO_Blocking-Pixel_INTER, Video, Article-Natives, LB_02 (Ad Unit)",refresh=true,56
12/11/24,"CBO_Blocking-Pixel_INTER, Video, Article-Natives, LB_02 (keyvalues)",refresh=true,8
12/11/24,"CBO_Blocking-Pixel_all-ads_INTER, Video, Article-Natives, LB_1-3, REC_1-4 (Ad Unit)",refresh=true,7
12/11/24,CBO_Blocking-Pixel_inline_Wintrust_072623,refresh=true,737
12/11/24,CBO_Blocking_Pixel_120x60 (AdUnit),refresh=true,2
12/11/24,CBO_Blocking_Pixel_Native (AdUnit),refresh=true,331
12/11/24,CBO_Blocking_Pixel_Native (Keyvalue),refresh=true,4
12/11/24,CBO_Byline-Bank_Article_SP_MLT_120224 (185015),refresh=true,1
12/11/24,CBO_CIBC_Crains-Forum_SP_MLT_010724 (179354),refresh=true,49
12/11/24,CBO_Chicago-Community-Trust_Equity_Article_SP_011024 (186295),refresh=true,138
12/11/24,CBO_City-of-Crystal-Lake_Article_SP_MLT_071024 (184390),refresh=true,8
12/11/24,CBO_City-of-Hope-Cancer-Center-Chicago_Article_SP_MLT_041124 (187205),refresh=true,4
